1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
96,83,15,70,9,78,19,105,40,12,7,3,0,15,0,37,19,12,11,0,23,16,0,45,34,48,15,100,9,40,15,89,73,101,19,34,30,10,28,148
149,154,92,107,73,174,121,156,134,105,61,61,53,40,111,60,123,60,67,990,74,57,573,81,91,149,50,176,202,182,58,150,100,223,81,61,144,47,63,205
161,208,92,112,55,170,0,0,147,99,96,103,52,43,0,56,171,101,70,0,116,114,0,81,145,,54,165,188,171,90,0,140,363,86,73,305,47,102,213
305,275,141,162,570,352,0,0,201,192,150,262,490,65,0,109,266,201,137,0,176,153,0,139,211,,116,227,711,333,127,0,169,442,138,111,396,189,137,270
0,262,146,170,0,0,117,0,248,214,173,0,0,70,108,147,252,0,144,0,201,208,0,187,252,,128,252,0,0,160,152,182,481,232,119,405,0,182,278
0,495,220,217,0,0,345,0,302,276,257,0,0,92,219,187,342,0,201,0,255,249,0,236,311,,176,307,0,0,198,181,209,560,282,157,497,0,205,335
314,0,222,225,0,447,0,0,316,276,274,0,0,95,0,214,343,187,215,0,299,,0,282,318,,202,321,0,332,237,184,244,596,310,164,506,0,242,343
363,0,274,272,0,684,0,0,398,514,833,0,0,116,0,254,410,466,277,0,358,,0,332,391,,245,362,0,649,274,211,273,675,372,202,598,0,272,400
395,0,286,280,0,0,0,0,438,0,0,254,0,121,220,301,418,0,282,0,378,,0,371,396,,248,369,0,0,307,212,281,687,377,209,630,0,304,408
456,0,339,326,0,0,0,0,537,0,0,304,0,143,276,329,491,0,345,0,455,,0,427,478,,409,492,0,0,352,238,309,754,439,247,721,0,334,465
464,0,352,,0,728,0,0,,0,468,332,0,149,273,372,571,0,360,0,467,,0,471,491,,0,0,0,0,392,239,318,802,444,255,730,189,362,473
633,0,407,,0,829,0,0,,0,531,504,0,170,351,409,649,0,411,0,530,,0,519,567,,0,0,0,0,429,270,348,883,505,293,822,292,392,530
