1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
108,87,17,83,12,80,25,117,42,14,20,5,9,0,2,64,21,14,13,9,30,18,1,49,36,80,0,102,102,42,17,91,75,128,21,36,32,25,38,150
136,152,70,86,49,172,67,154,132,103,79,59,51,0,28,95,107,59,65,172,72,53,527,79,89,147,0,174,176,149,48,113,92,200,136,59,142,45,61,203
172,210,95,114,57,172,0,193,149,116,98,109,54,0,54,152,173,103,72,0,118,116,0,83,147,,77,167,197,160,92,121,142,365,0,75,307,51,112,215
231,273,138,144,113,318,0,264,199,190,148,162,115,0,109,180,230,143,135,0,174,151,0,137,209,,108,223,275,267,118,143,167,440,0,109,394,84,135,268
244,264,149,172,75,263,0,275,250,216,186,150,104,0,116,226,254,135,146,152,220,210,98,191,254,,130,258,252,253,163,154,184,483,234,121,407,86,184,280
284,324,212,177,141,350,0,334,300,274,267,206,165,0,152,250,314,233,198,244,253,247,150,234,307,,160,305,346,408,189,179,207,558,280,155,495,118,203,333
325,319,225,226,160,449,0,355,318,278,276,201,162,0,161,0,345,0,217,200,319,,145,284,320,,220,323,333,334,239,186,249,598,312,166,508,122,249,345
361,383,270,230,191,568,0,416,396,347,355,260,219,0,192,0,408,0,275,352,356,,199,326,387,,243,360,437,409,272,209,271,673,370,200,596,152,270,398
398,380,288,281,195,548,0,434,440,350,375,256,218,0,228,380,420,235,284,0,404,,196,373,398,,252,376,445,392,313,214,283,689,379,211,632,155,311,410
454,428,326,285,281,682,0,514,535,426,459,302,263,0,263,399,489,295,335,0,453,,252,425,476,,297,452,561,551,347,236,307,752,437,245,719,177,326,463
466,427,354,,0,730,0,512,,420,474,347,254,0,0,0,573,283,362,296,469,,250,473,493,,290,440,526,457,394,241,320,804,446,257,732,191,369,475
528,493,403,,0,827,0,579,,512,551,405,318,0,0,0,627,464,408,406,528,,299,515,603,,324,490,635,560,420,268,346,881,503,285,820,221,390,528
507,539,423,,289,831,0,664,,,565,411,294,0,359,0,653,0,431,0,540,,294,561,566,,323,507,612,548,463,276,386,896,512,303,856,219,489,548
602,620,453,,355,932,0,1043,,,643,449,359,0,394,0,708,0,494,0,619,,345,605,639,,364,568,709,647,491,301,407,959,570,331,943,248,505,580
585,608,487,,311,1017,0,744,,,660,452,339,0,400,0,736,0,495,493,590,,350,655,658,,375,611,,655,512,305,425,1014,589,347,957,257,529,605
631,669,539,,357,1108,0,816,,,728,502,402,0,439,0,796,0,543,634,629,,447,699,716,,407,663,,758,531,332,444,1085,637,382,1033,280,550,658
,712,547,,359,1122,0,826,,,735,551,395,0,475,0,823,0,569,592,660,,0,753,713,,422,668,,731,559,339,481,1100,712,394,1080,294,569,670
,791,586,,424,1205,0,890,,,817,603,440,0,509,0,871,0,607,887,739,,0,805,795,,448,709,,894,595,360,505,1175,837,442,1154,323,585,723
,785,622,,0,1301,0,,,,828,608,435,0,544,0,964,502,,0,750,,453,839,,,453,746,,0,632,362,519,1191,0,440,1186,326,609,735
,848,657,,0,1476,0,,,,924,656,487,0,582,0,1037,543,,0,820,,544,891,,,469,780,,0,668,396,539,1251,0,466,1261,357,625,788
,839,677,,479,1419,,,,,931,705,494,0,596,0,1053,548,,735,864,,495,945,,,506,817,,903,700,400,583,0,929,485,1291,361,649,800
,905,722,,540,1503,,,,,1006,738,535,0,629,0,1105,679,,898,899,,561,989,,,540,862,,992,719,428,610,0,975,519,1351,391,670,853
,955,745,,0,1611,,,,,1029,748,529,0,686,,1124,0,,0,955,,,1021,,,570,890,,992,740,433,658,0,1077,530,1402,394,689,865
,1024,780,,0,1808,,,,,1092,790,567,0,720,,1201,0,,0,994,,,1076,,,588,932,,1086,767,459,693,0,1134,564,1471,427,705,917
,1020,807,,577,1712,,,,,1115,857,,0,,,1208,0,,888,1032,,,1125,,,610,1032,,1107,783,464,707,,1216,575,1548,424,729,930
,1088,853,,639,1877,,,,,1160,888,,0,,,1284,0,,989,1088,,,1174,,,647,1072,,1200,810,492,741,,1283,610,1582,460,750,983
,1080,866,,0,1917,,,,,1228,884,,0,,,1362,681,,,1115,,,1180,,,646,,,1203,,488,,,1311,621,,436,0,995
,1149,919,,0,2022,,,,,1296,937,,0,,,1443,747,,,1178,,,1212,,,671,,,1275,,523,,,1363,649,,495,0,1048
,1145,926,,,2025,,,,,,931,,0,,,1441,731,,,1210,,,1215,,,691,,,1300,,528,,,1367,713,,,909,1060
,1212,980,,,2170,,,,,,986,,0,,,1510,845,,,1260,,,1269,,,732,,,1356,,556,,,1436,742,,,925,1113
,1199,993,,,2239,,,,,,987,,,,,1526,0,,,1005,,,1317,,,0,,,,,560,,,,758,,,964,1133
,1268,1035,,,2460,,,,,,1036,,,,,1590,0,,,1352,,,1369,,,0,,,,,587,,,,792,,,990,1178
,1262,1138,,,2353,,,,,,1044,,,,,1596,827,,,1392,,,1410,,,,,,,,592,,,,804,,,0,1190
,1364,1158,,,2511,,,,,,1085,,,,,1679,881,,,1450,,,1453,,,,,,,,620,,,,832,,,0,1243
,1324,1193,,,2579,,,,,,1097,,,,,1676,900,,,1492,,,1498,,,,,,,,625,,,,850,,,1089,1255
,1393,1216,,,2698,,,,,,1128,,,,,1750,980,,,1537,,,1536,,,,,,,,647,,,,878,,,1105,1295
,,,,,2689,,,,,,1129,,,,,1754,948,,,1574,,,,,,,,,,,656,,,,895,,,1129,1320
,,,,,2871,,,,,,1187,,,,,1826,1005,,,1628,,,,,,,,,,,679,,,,923,,,1145,1378
,,,,,2790,,,,,,1237,,,,,,1000,,,1686,,,,,,,,,,,688,,,,940,,,1169,1385
,,,,,2961,,,,,,1287,,,,,,1229,,,1732,,,,,,,,,,,715,,,,974,,,1185,1438
,,,,,,,,,,,1291,,,,,,0,,,,,,,,,,,,,,750,,,,986,,,1209,1450
,,,,,,,,,,,1330,,,,,,0,,,,,,,,,,,,,,787,,,,1020,,,1230,1503
,,,,,,,,,,,1341,,,,,,0,,,,,,,,,,,,,,792,,,,1038,,,1249,1515
,,,,,,,,,,,1377,,,,,,0,,,,,,,,,,,,,,825,,,,1059,,,1264,1555
,,,,,,,,,,,1386,,,,,,0,,,,,,,,,,,,,,,,,,1077,,,1289,1580
,,,,,,,,,,,1429,,,,,,0,,,,,,,,,,,,,,,,,,1111,,,1304,1633
,,,,,,,,,,,1441,,,,,,0,,,,,,,,,,,,,,,,,,1123,,,1324,1645
,,,,,,,,,,,1487,,,,,,0,,,,,,,,,,,,,,,,,,1157,,,1344,1685
,,,,,,,,,,,1495,,,,,,1267,,,,,,,,,,,,,,,,,,1168,,,1444,1710
,,,,,,,,,,,1519,,,,,,1305,,,,,,,,,,,,,,,,,,1202,,,1470,1763
,,,,,,,,,,,,,,,,,1306,,,,,,,,,,,,,,,,,,1214,,,1509,1775
,,,,,,,,,,,,,,,,,1351,,,,,,,,,,,,,,,,,,1248,,,1525,1827
,,,,,,,,,,,,,,,,,1355,,,,,,,,,,,,,,,,,,,,,1549,1840
,,,,,,,,,,,,,,,,,1406,,,,,,,,,,,,,,,,,,,,,1570,1893
,,,,,,,,,,,,,,,,,1396,,,,,,,,,,,,,,,,,,,,,1589,1905
,,,,,,,,,,,,,,,,,1447,,,,,,,,,,,,,,,,,,,,,1605,1958
,,,,,,,,,,,,,,,,,1441,,,,,,,,,,,,,,,,,,,,,,1970
,,,,,,,,,,,,,,,,,1490,,,,,,,,,,,,,,,,,,,,,,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283
