1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
98,86,16,71,10,77,20,107,41,13,8,0,3,16,0,38,19,12,13,11,29,18,0,47,35,50,12,102,71,41,16,90,74,102,21,35,31,11,29,151
136,152,92,106,52,168,70,155,134,102,55,59,51,38,54,59,123,60,66,66,72,57,50,80,90,149,52,166,177,173,49,118,97,223,78,59,142,45,61,203
163,210,94,113,56,169,70,194,148,103,97,104,51,44,54,59,172,101,71,72,117,116,50,81,145,,54,166,197,173,91,120,141,364,88,75,306,48,103,214
232,273,140,161,103,263,118,265,200,192,149,151,103,63,110,111,252,143,136,121,176,153,95,138,211,,120,227,264,252,118,148,167,440,135,108,394,84,135,268
233,273,148,171,103,263,118,275,250,216,185,151,103,71,111,146,252,143,146,157,203,209,95,190,253,,129,253,264,253,161,153,184,484,234,120,406,85,183,279
303,323,218,216,156,350,148,336,301,275,249,198,161,91,164,187,342,195,200,210,255,249,144,236,300,,176,306,333,332,196,180,206,558,280,155,495,118,203,333
310,323,224,226,156,446,149,354,317,278,275,199,161,96,164,214,344,195,216,210,301,,144,284,319,,212,323,333,333,237,185,245,598,312,165,507,121,243,343
362,381,270,272,191,537,169,418,397,348,358,255,204,114,218,260,409,233,276,261,358,,196,331,391,,244,362,436,392,272,209,271,672,370,200,596,152,270,398
397,381,288,281,191,537,169,433,439,350,374,255,204,122,222,293,418,233,283,268,379,,196,372,396,,248,370,445,392,306,213,282,688,379,210,631,154,305,408
455,426,338,325,238,683,193,511,536,422,441,303,253,141,275,336,490,285,344,310,455,,248,427,477,,298,440,534,472,350,236,306,752,437,245,719,187,321,464
465,427,354,,239,730,193,511,,422,473,334,253,150,276,371,571,286,362,353,468,,248,473,493,,298,440,534,472,393,241,319,803,445,256,731,190,364,473
508,495,406,,288,829,227,580,,512,528,405,293,169,345,410,651,333,411,411,529,,293,521,560,,332,492,608,548,421,269,346,881,503,291,820,221,390,528
508,536,411,,288,830,227,663,,,564,405,293,172,345,448,651,333,431,412,540,,293,560,561,,332,494,609,548,462,275,382,895,512,302,855,221,483,546
576,612,460,,358,974,256,731,,,625,449,351,205,399,487,728,380,485,448,586,,346,610,650,,374,569,710,648,496,302,408,959,569,334,943,255,510,580
576,613,486,,358,1014,256,743,,,659,449,351,205,399,514,732,380,494,493,586,,346,654,657,,374,611,,654,511,304,420,1014,589,346,974,255,524,604
631,670,538,,385,1109,289,818,,,732,505,391,234,459,556,797,418,548,556,630,,388,702,732,,409,661,,731,531,333,444,1083,636,382,1033,290,550,658
,711,538,,386,1119,295,825,,,734,551,392,238,475,628,806,419,549,592,660,,389,753,732,,417,668,,731,547,338,480,1099,711,395,1080,293,564,669
,788,598,,428,1207,320,892,,,819,595,433,265,516,660,872,466,629,651,741,,449,801,796,,451,711,,808,604,362,506,1175,761,427,1154,323,590,723
,788,606,,428,1300,322,,,,827,595,433,270,538,699,964,501,,651,749,,449,839,,,451,735,,808,620,368,518,1190,779,439,1185,324,603,734
,840,666,,478,1417,344,,,,925,657,529,292,583,730,1040,544,,706,822,,494,895,,,473,782,,895,677,396,542,1251,837,467,1261,358,630,788
,840,676,,479,1417,,,,,934,704,529,295,595,784,1046,547,,742,847,,494,944,,,494,815,,902,700,400,581,1405,928,484,1290,358,644,799
,906,728,,534,1505,,,,,1009,745,577,318,663,814,1113,595,,804,901,,563,992,,,547,863,,992,720,429,612,1423,975,519,1351,393,670,853
,955,736,,542,1614,,,,,1016,747,,329,685,,1122,595,,804,954,,,1020,,,547,889,,992,735,432,657,1447,1076,529,1402,394,683,862
,1027,786,,568,1711,,,,,1094,792,,351,722,,1203,649,,859,995,,,1080,,,597,933,,1202,767,450,693,1464,1124,564,1470,427,709,918
,1027,791,,576,1711,,,,,1114,854,,352,,,1204,649,,894,1031,,,1124,,,602,1032,,1203,782,463,706,,1216,574,1547,427,724,927
,1085,861,,629,1879,,,,,1190,891,,374,,,1286,681,,962,1090,,,1171,,,648,1073,,1277,809,492,742,,1281,610,1582,460,750,983
,1085,861,,629,1916,,,,,1212,891,,378,,,1355,681,,,1114,,,1179,,,648,,,1277,,495,,,1311,621,,461,850,994
,1143,918,,686,2024,,,,,1283,937,,400,,,1440,735,,,1179,,,1214,,,681,,,1356,,523,,,1363,648,,495,866,1049
,1143,926,,,2024,,,,,,937,,403,,,1440,736,,,1209,,,1215,,,689,,,,,527,,,1366,713,,,903,1059
,1202,988,,,2170,,,,,,992,,435,,,1511,781,,,1279,,,1272,,,738,,,,,557,,,1435,742,,,930,1113
,1202,989,,,2237,,,,,,995,,,,,1525,781,,,1303,,,1317,,,738,,,,,558,,,,757,,,964,1128
,1263,1059,,,2351,,,,,,1039,,,,,1592,824,,,1369,,,1370,,,788,,,,,589,,,,792,,,990,1178
,1263,1124,,,2351,,,,,,1039,,,,,1595,824,,,1390,,,1409,,,,,,,,592,,,,803,,,1024,1189
,1327,1161,,,2512,,,,,,1088,,,,,1680,882,,,1450,,,1455,,,,,,,,620,,,,838,,,1044,1243
,1327,1193,,,2572,,,,,,1092,,,,,1681,899,,,1475,,,1498,,,,,,,,623,,,,850,,,1087,1254
,1393,1233,,,2689,,,,,,1127,,,,,1752,951,,,1539,,,1543,,,,,,,,652,,,,884,,,1107,1295
,,,,,2688,,,,,,1127,,,,,1753,951,,,1573,,,,,,,,,,,655,,,,896,,,1124,1319
,,,,,2807,,,,,,1189,,,,,1827,999,,,1641,,,,,,,,,,,682,,,,928,,,1150,1373
,,,,,2807,,,,,,1235,,,,,,999,,,1666,,,,,,,,,,,687,,,,939,,,1163,1383
,,,,,2962,,,,,,1288,,,,,,1043,,,1733,,,,,,,,,,,714,,,,974,,,1190,1438
,,,,,,,,,,,1288,,,,,,1043,,,,,,,,,,,,,,751,,,,986,,,1204,1149
,,,,,,,,,,,1335,,,,,,1085,,,,,,,,,,,,,,786,,,,1019,,,1230,1503
,,,,,,,,,,,1335,,,,,,1086,,,,,,,,,,,,,,791,,,,1037,,,1243,1513
,,,,,,,,,,,1383,,,,,,1134,,,,,,,,,,,,,,825,,,,1059,,,1270,1555
,,,,,,,,,,,1383,,,,,,1134,,,,,,,,,,,,,,,,,,1077,,,1288,1576
,,,,,,,,,,,1429,,,,,,1183,,,,,,,,,,,,,,,,,,1110,,,1304,1633
,,,,,,,,,,,1440,,,,,,1183,,,,,,,,,,,,,,,,,,1123,,,1323,1643
,,,,,,,,,,,1487,,,,,,1230,,,,,,,,,,,,,,,,,,1157,,,1350,1691
,,,,,,,,,,,1494,,,,,,1266,,,,,,,,,,,,,,,,,,1167,,,1443,1710
,,,,,,,,,,,1525,,,,,,1307,,,,,,,,,,,,,,,,,,1202,,,1469,1764
,,,,,,,,,,,,,,,,,1307,,,,,,,,,,,,,,,,,,1213,,,1504,1774
,,,,,,,,,,,,,,,,,1352,,,,,,,,,,,,,,,,,,1248,,,1529,1827
