1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
97,84,16,71,10,79,20,106,41,13,8,13,3,16,0,40,46,13,12,6,29,17,1,46,35,79,21,101,58,41,16,90,74,102,20,35,31,11,29,149
136,152,90,105,51,171,68,154,132,103,79,59,51,38,43,102,121,59,65,59,72,55,51,79,89,147,48,164,181,135,48,118,98,174,79,59,142,45,61,203
162,209,93,113,56,172,68,192,148,103,79,104,53,44,50,0,172,102,71,59,117,115,51,82,146,,55,166,188,159,91,120,141,364,87,74,306,48,103,214
232,273,139,160,99,261,118,266,199,190,158,151,103,63,109,0,253,143,135,150,174,151,100,138,209,,119,225,264,253,118,148,167,440,136,109,394,84,135,268
232,273,147,171,100,262,118,274,249,215,160,151,103,71,109,148,276,143,145,150,202,209,100,186,253,,129,253,264,253,161,153,183,482,233,120,406,84,183,279
296,322,218,215,154,350,149,334,300,274,273,198,161,90,160,183,340,195,199,205,253,247,144,234,299,,168,305,331,331,196,179,207,558,280,155,495,118,203,333
308,322,223,226,154,448,149,354,317,277,275,199,161,96,160,220,344,195,216,205,300,,144,283,319,,203,322,331,333,238,184,245,597,311,165,507,120,243,344
361,383,272,270,191,534,169,416,396,347,365,255,203,114,217,252,408,233,275,254,356,,195,333,389,,243,360,405,394,272,209,271,673,370,200,596,152,270,398
396,383,287,281,192,546,169,433,439,349,365,259,205,122,221,304,419,234,283,254,379,,195,372,397,,249,370,444,396,308,213,282,688,378,210,631,154,305,409
454,424,335,324,238,682,193,494,535,419,460,302,253,141,274,327,489,283,343,343,453,,247,425,476,,297,438,537,464,350,236,307,752,437,245,719,187,332,463
465,426,353,,239,729,193,511,,419,466,333,253,150,274,378,572,290,361,343,468,,249,472,492,,297,439,537,480,393,240,319,803,445,256,731,190,363,474
511,496,403,,286,827,226,597,,512,533,401,293,168,335,403,647,332,409,409,528,,292,517,565,,332,490,607,552,420,268,346,881,503,291,820,221,390,528
511,532,411,,287,830,227,663,,,533,405,293,172,338,447,652,332,430,412,539,,292,560,565,,332,506,611,552,462,275,382,895,511,302,855,221,348,547
571,613,460,,358,972,256,727,,,643,448,351,205,398,475,725,379,494,447,586,,346,607,648,,369,568,687,612,496,301,407,959,570,334,943,255,510,580
571,613,485,,358,1016,256,743,,,656,448,351,205,398,520,733,379,494,447,589,,346,654,657,,372,610,,648,511,304,420,1013,588,346,974,255,523,604
631,699,531,,378,1108,289,816,,,733,502,390,232,458,548,796,420,546,591,629,,388,699,740,,407,663,,730,531,332,444,1085,637,382,1033,290,550,658
,708,531,,384,1119,295,825,,,734,550,394,238,474,628,822,420,549,591,659,,388,752,740,,417,667,,730,547,338,480,1099,711,393,1079,293,563,669
,789,598,,427,1205,320,916,,,827,595,432,265,515,659,871,464,628,650,739,,447,806,795,,471,710,,801,604,360,507,1175,761,428,1154,323,590,723
,789,606,,427,1300,322,,,,827,595,434,270,537,700,963,501,,650,749,,447,838,,,0,734,,801,620,368,518,1190,778,439,1185,324,603,734
,848,665,,477,1408,343,,,,929,656,488,291,582,728,1037,543,,698,820,,493,893,,,0,780,,894,677,396,543,1251,837,446,1261,358,630,788
,848,676,,478,1409,,,,,929,704,490,294,595,784,1052,547,,699,846,,493,944,,,494,814,,895,699,399,582,1405,928,484,1290,358,643,799
,905,727,,536,1503,,,,,1011,743,528,318,653,794,1112,602,,800,899,,561,989,,,543,862,,991,719,428,610,1423,975,519,1351,393,670,853
,951,735,,544,1610,,,,,1015,747,528,329,685,,1123,602,,800,954,,,1020,,,544,889,,991,735,432,657,1447,1076,529,1401,393,683,864
,1027,785,,568,1712,,,,,1114,791,576,350,721,,1201,649,,889,994,,,1078,,,595,932,,1089,767,459,693,1464,1124,564,1471,427,710,917
,1027,791,,576,1712,,,,,1114,854,,352,,,1205,649,,889,1031,,,1124,,,604,1031,,1103,782,463,706,,1215,574,1547,427,723,929
,1086,860,,617,1841,,,,,1208,891,,374,,,1284,681,,988,1088,,,1174,,,647,1072,,1200,810,492,742,,1283,610,1582,460,750,983
,1086,861,,639,1916,,,,,1208,891,,378,,,1355,681,,,1114,,,1179,,,647,,,1239,,495,,,1310,620,,461,850,994
,1140,919,,681,2022,,,,,1298,937,,400,,,1440,735,,,1178,,,1213,,,680,,,1276,,523,,,1363,649,,495,866,1048
,1140,925,,,2023,,,,,,937,,403,,,1440,735,,,1209,,,1214,,,688,,,1276,,527,,,1366,712,,,903,1059
,1205,983,,,2170,,,,,,991,,432,,,1510,780,,,1279,,,1269,,,734,,,1361,,556,,,1436,742,,,930,1113
,1205,988,,,2238,,,,,,995,,,,,1525,780,,,1304,,,1316,,,736,,,,,559,,,,575,,,963,1128
,1261,1044,,,2352,,,,,,1038,,,,,1590,824,,,1369,,,1369,,,787,,,,,587,,,,792,,,990,1178
,1261,1123,,,2352,,,,,,1039,,,,,1595,824,,,1390,,,1409,,,,,,,,591,,,,803,,,1023,1189
,1322,1162,,,2511,,,,,,1088,,,,,1678,881,,,1450,,,1453,,,,,,,,620,,,,838,,,1044,1243
,1322,1192,,,2571,,,,,,1092,,,,,1678,889,,,1475,,,1497,,,,,,,,624,,,,849,,,1088,1254
